szcodes,qa1,q1a1,q1a2,q2,q3,q4,q5,q61,q62,q63,q64,q65,q66,q67,q68,q69,q610,q7,region_code,distrct_code,urban_rural,head_name,addresss,phone_number,region_name,interviewer_name,date_of_interview,time_of_interview,intercozed,end_time_of_interview
1060281,,PII,,Yes (if call went through and the potential respondent answered),,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,14092020,2150,106,215032
1060284,,PII,,"Call go through, No reply",,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,151,106,15200
1060276,,PII,,Yes (if call went through and the potential respondent answered),,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,14092020,2228,106,222857
1060278,,PII,,"Call go through, No reply",,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,14092020,2322,106,232258
1060279,,PII,,Yes (if call went through and the potential respondent answered),,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,14092020,2323,106,232400
1060282,,PII,,Refused,,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,26,106,2607
1060272,,PII,,"Call go through, No reply",,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,14092020,2205,106,220558
1060273,,PII,,Wrong phone numebr,,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,14092020,2207,106,220718
1060277,,PII,,Phone engaged (Busy),,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,14092020,2232,106,223318
1060274,,PII,,Wrong phone numebr,,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,14092020,2208,106,220843
1060280,,PII,,"Call go through, No reply",,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,149,106,14938
1060283,,PII,,Wrong phone numebr,,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,28,106,2839
1060275,,PII,,Wrong phone numebr,,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,14092020,2211,106,221149
1060285,,PII,,Phone engaged (Busy),,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,439,106,43930
1080409,,PII,,"Call go through, No reply",,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1049,108,104949
1080400,,PII,,Yes (if call went through and the potential respondent answered),,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1008,108,101039
1080430,,PII,,Yes (if call went through and the potential respondent answered),,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1300,108,130333
1080398,,PII,,Yes (if call went through and the potential respondent answered),,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1002,108,100322
1080385,,PII,,Wrong phone numebr,,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,931,108,93143
1080408,,PII,,Wrong phone numebr,,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1048,108,104807
1080428,,PII,,Wrong phone numebr,,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1255,108,125540
1080780,,PII,,"Call go through, No reply",,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1325,108,132533
1080381,,PII,,"Call go through, No reply",,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,923,108,92424
1082906,,PII,,Call Back,,,,,,,,,,,,,,,,,,,,,,,15092020,1353,,
1082902,,PII,,Yes (if call went through and the potential respondent answered),Yes,Yes,,.p,Yes,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","Public toilet (e.g., WC, KVIP, pit pan)","Gas, or electricity",Yes,.p,Two,No,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1326,108,133354
1080401,,PII,,Yes (if call went through and the potential respondent answered),,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1033,108,103456
1080403,,PII,,"Call go through, No reply",,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1040,108,104110
1080416,,PII,,"Call go through, No reply",,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1100,108,110027
1080424,,PII,,Wrong phone numebr,,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1123,108,112319
1080423,,PII,,Yes (if call went through and the potential respondent answered),,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1119,108,112208
1082907,,PII,,Yes (if call went through and the potential respondent answered),Yes,,,,,,,,,,,,,,,,,,,,,,15092020,1355,,
1080425,,PII,,Wrong phone numebr,,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1124,108,112414
1080386,,PII,,Wrong phone numebr,,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,932,108,93218
1080432,,PII,,"Call go through, No reply",,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1322,108,132230
1080429,,PII,,Yes (if call went through and the potential respondent answered),,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1256,108,125650
1080415,,PII,,"Call go through, No reply",,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1058,108,105908
1080402,,PII,,Wrong phone numebr,,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1035,108,103540
1080405,,PII,,Yes (if call went through and the potential respondent answered),,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1043,108,104441
1080399,,PII,,Wrong phone numebr,,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1005,108,100620
1080391,,PII,,Yes (if call went through and the potential respondent answered),,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,945,108,94620
1080431,,PII,,Wrong phone numebr,,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1318,108,132127
1080394,,PII,,Wrong phone numebr,,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,951,108,95117
1080404,,PII,,Wrong phone numebr,,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1042,108,104227
1082909,,PII,,Yes (if call went through and the potential respondent answered),Yes,Yes,,.p,No,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","KVIP, or WC","Gas, or electricity",Yes,.p,Two,No,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1410,108,141908
1080383,,PII,,Yes (if call went through and the potential respondent answered),,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,926,108,92623
1082905,,PII,,Wrong phone numebr,,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1349,108,135003
1080421,,PII,,"Call go through, No reply",,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1112,108,111306
1080388,,PII,,"Call go through, No reply",,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,938,108,93855
1080418,,PII,,Yes (if call went through and the potential respondent answered),,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1103,108,110343
1080384,,PII,,Yes (if call went through and the potential respondent answered),,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,928,108,92949
1080389,,PII,,"Call go through, No reply",,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,940,108,94022
1082903,,PII,,Yes (if call went through and the potential respondent answered),Yes,Yes,,.p,No,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","Public toilet (e.g., WC, KVIP, pit pan)","Gas, or electricity",Yes,.p,Three+,Motor cycle or car (regardless of bicycle),Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1336,108,134125
1080417,,PII,,Yes (if call went through and the potential respondent answered),,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1100,108,110201
1080396,,PII,,"Call go through, No reply",,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,956,108,95642
1080387,,PII,,Yes (if call went through and the potential respondent answered),,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,932,108,93325
1080433,,PII,,"Call go through, No reply",,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1323,108,132325
1082904,,PII,,Yes (if call went through and the potential respondent answered),Yes,No,,,,,,,,,,,,,,,,,,,,,15092020,1342,,
1080422,,PII,,Wrong phone numebr,,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1113,108,111415
1080382,,PII,,"Call go through, No reply",,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,924,108,92531
1080766,,PII,,"Call go through, No reply",,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1324,108,132446
1080419,,PII,,"Call go through, No reply",,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1110,108,111035
1080406,,PII,,Yes (if call went through and the potential respondent answered),,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1045,108,104552
1080411,,PII,,Yes (if call went through and the potential respondent answered),,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1051,108,105339
1080413,,PII,,Wrong phone numebr,,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1056,108,105627
1080414,,PII,,Yes (if call went through and the potential respondent answered),Yes,Yes,,.p,Yes,Yes,"Mud bricks /earth, wood, bamboo, metal sheet /slate /asbestos, palm leaves /thatch (grass /raffia), or other","KVIP, or WC","Charcoal, or kerosene",Yes,.p,Three+,No,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1057,108,105757
1080390,,PII,,Yes (if call went through and the potential respondent answered),,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,941,108,94512
1080397,,PII,,Yes (if call went through and the potential respondent answered),,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,957,108,100152
1080395,,PII,,Yes (if call went through and the potential respondent answered),,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,951,108,95315
1080393,,PII,,Wrong phone numebr,,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,950,108,95030
1080392,,PII,,"Call go through, No reply",,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,949,108,94935
1080410,,PII,,Wrong phone numebr,,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1050,108,105116
1080380,,PII,,Wrong phone numebr,,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,922,108,92252
1080426,,PII,,Yes (if call went through and the potential respondent answered),,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1124,108,112602
1080420,,PII,,"Call go through, No reply",,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1111,108,111210
1080412,,PII,,"Call go through, No reply",,,,,,,,,,,,,,Thank you,5,5,1,PII,PII,PII,PII,PII,15092020,1054,108,105515
