caseidx,d0,d1a,d1b,d1c,d2,d3,d4,d5,d6,d7,d8,d9,d10,b1a,b1aa,b1b,b2a,b2b,b3a,b3b,b4a,b4b,b5a,b5b,b6a,b6b,i0,i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,ga,gb1,gb2,gb3,gb4,gb5,gb6,gb7,gb8,gb9a,gb9b,cr1,cr2,ct1,ct1a,ct1b,ct2,ct2a,ct2b,c1,c2,e1,e2,e3,e4,e5,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,g1,g2,callern,caller_id,supern,team_no,dateinterviewstart,dateinterviewend,interview_start_time,interview_end_time,caller_phone_number,name_of_respondent,phone_number_of_respondent,treatment_status,interviewn_result,number_of_calls
10904,540937280,RECODE,ASOFAA,1,Male,All Other Tribes,Yes,37,Tertiary ? HND,6,Yes,Informal sector,< 500,Yes,I moderately trust,I moderately believe,Agree,60,Agree,60,Agree,60,Disagree,60,Agree,60,"Other family members(specify mother, father, siblings, extended relatives)",0,0,Yes,Yes,No,Yes,No,Yes,No,Yes,"Water insecurity[i.e., indequate water sources and inability to pay water bills going forward]",Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,5,14,,14,14,20,15,0,0,50,0,0,None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Most of the time (5-6 times in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),Most of the time (5-6 times in 7 days),All of the time (7 times in 7 days,Some of the time (3-4 times in 7 days),None of the time (less than 1 time in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,111,,11,30092020,30092020,2752,4746,.p,PII,PII,0,Yes (if call went through and the potential respondent answered),1
11809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PII,111,,11,30092020,30092020,24921,24941,.p,PII,PII,1,Refused,5
10715,554623419,RECODE,ASOFAA,1,Female,All Other Tribes,Yes,42,Primary,7,No,Informal sector,< 500,Yes,I somewhat trust,I don't believe,Agree,30,Agree,30,Agree,30,Agree,30,Agree,30,Myself,8,0,Yes,No,No,Yes,No,No,Yes,Yes,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,5,3,,0,5,210,70,0,5,0,0,0,None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),A little of the time (1-2 times in 7 days),Some of the time (3-4 times in 7 days),A little of the time (1-2 times in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),Some of the time (3-4 times in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,111,,11,29092020,30092020,220507,14751,.p,PII,PII,0,Yes (if call went through and the potential respondent answered),2
19002,241657028,RECODE,ASOFAA,1,Female,All Other Tribes,Yes,50,Nursery,7,Yes,Informal sector,< 500,Yes,I trust completely,I completely believe,Agree,40,Agree,40,Agree,48,Agree,40,Agree,40,Myself,9,100,No,No,No,Yes,No,Yes,Yes,No,"Energy insecurity[i.e., indequate energy sources and inability to pay electricity/energy bills going forward]",Yes,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,,0,0,,0,0,10,20,0,7,0,0,0,Some of the time (3-4 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),A little of the time (1-2 times in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Most of the time (5-6 times in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,111,,11,30092020,30092020,44844,71631,.p,PII,PII,1,Yes (if call went through and the potential respondent answered),3
16611,244937047,RECODE,ASOFAA,1,Male,All Other Tribes,Yes,42,JSS/JHS,6,Yes,Informal sector,< 500,Yes,I moderately trust,I moderately believe,Agree,40,Agree,40,Agree,40,Agree,40,Agree,40,Spouse,8,80,Yes,No,No,Yes,No,No,Yes,Yes,"Umeployment and poor income sources[i.e., inability to find work when actively searching or shortfalls in income because of inability to go to work or do local business]",Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,,5,5,,0,0,240,28,0,0,50,0,0,Some of the time (3-4 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Some of the time (3-4 times in 7 days),A little of the time (1-2 times in 7 days),A little of the time (1-2 times in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,111,,11,30092020,30092020,45210,50325,.p,PII,PII,0,Yes (if call went through and the potential respondent answered),1
13510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PII,111,,11,30092020,30092020,41242,41302,.p,PII,PII,2,Refused,5
12615,244029167,RECODE,ASOFAA,1,Male,Ewe,Yes,41,Tertiary - Bachelor?s Degree,7,No,Formal sector,1001 - 1500,Yes,I trust completely,I completely believe,Agree,40,Agree,40,Agree,40,Agree,40,Agree,40,Spouse,7,100,No,No,No,No,No,No,No,No,"Health[i.e., being infected with COVID19 to affect you physically, mentally and socially]",Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,,15,21,,0,0,25,0,0,0,0,0,0,None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),All of the time (7 times in 7 days,Some of the time (3-4 times in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,111,,11,30092020,30092020,32425,34428,.p,PII,PII,1,Yes (if call went through and the potential respondent answered),1
13309,249979454,RECODE,ASOFAA,1,Female,All Other Tribes,Yes,60,Primary,5,Yes,Informal sector,< 500,Yes,I moderately trust,I moderately believe,Agree,40,Agree,40,Agree,40,Agree,40,Agree,40,"Other family members(specify mother, father, siblings, extended relatives)",8,300,No,No,No,No,No,Yes,Yes,Yes,"Energy insecurity[i.e., indequate energy sources and inability to pay electricity/energy bills going forward]",Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,,5,21,,0,0,100,0,0,5,0,200,0,Some of the time (3-4 times in 7 days),None of the time (less than 1 time in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),A little of the time (1-2 times in 7 days),Some of the time (3-4 times in 7 days),Some of the time (3-4 times in 7 days),Most of the time (5-6 times in 7 days),Most of the time (5-6 times in 7 days),Some of the time (3-4 times in 7 days),A little of the time (1-2 times in 7 days),Some of the time (3-4 times in 7 days),None of the time (less than 1 time in 7 days),Often(3-4 times in a day),Very often(5-7 times in a day),PII,111,,11,30092020,30092020,34900,40600,.p,PII,PII,2,Yes (if call went through and the potential respondent answered),1
10815,545362691,RECODE,ASOFAA,1,Male,All Other Tribes,Yes,56,Middle,10,Yes,Informal sector,< 500,Yes,I somewhat trust,I somewhat believe,Agree,80,Agree,80,Agree,80,Agree,80,Agree,80,Spouse,0,0,Yes,Yes,No,Yes,No,No,Yes,Yes,"Food insecurity[i.e., lack of consistent access to enough food going forward]",Yes,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,,4,5,,0,0,400,0,0,0,0,50,0,A little of the time (1-2 times in 7 days),A little of the time (1-2 times in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),A little of the time (1-2 times in 7 days),A little of the time (1-2 times in 7 days),Some of the time (3-4 times in 7 days),A little of the time (1-2 times in 7 days),None of the time (less than 1 time in 7 days),Most of the time (5-6 times in 7 days),A little of the time (1-2 times in 7 days),Most of the time (5-6 times in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,111,,11,29092020,30092020,235045,2052,.p,PII,PII,2,Yes (if call went through and the potential respondent answered),1
10306,247731648,RECODE,ASOFAA,1,Male,All Other Tribes,No,46,Primary,3,No,Neither(I do Nothing),< 500,Yes,I trust completely,I completely believe,Agree,20,Agree,20,Agree,20,Agree,20,Agree,20,Myself,2,30,No,No,No,Yes,No,Yes,Yes,Yes,"Water insecurity[i.e., indequate water sources and inability to pay water bills going forward]",Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,,10,5,,0,0,100,0,0,30,300,0,0,None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),None of the time (less than 1 time in 7 days),Never(less than 1 time in 7 days),Never(less than 1 time in 7 days),PII,111,,11,29092020,30092020,220039,44152,.p,PII,PII,2,Yes (if call went through and the potential respondent answered),3
