szcodes,qa1,q1a1,q1a2,q2,q3,q4,q5,q61,q62,q63,q64,q65,q66,q67,q68,q69,q610,q7,head_name,addresss,phone_number,interviewer_name,date_of_interview,time_of_interview,intercozed,end_time_of_interview,x,zstepcode,lang,headnX,address,interv,phone,caseidX,regionX,districtX,urbrurX,rScore,pov_likelihood,quart,ptile4,phoneStar,select1100,regionID,treatment,caseid,eacode,clust,nh,region,district,urbrur,dwell,hhhead,lango,hhno,locname,headn,newh,addressh,tel1,tel2,tel3,hhsize,listing_hhsize,intcode,cycle,memid,memname,s1q2,s1q3,s1q4dd,s1q4mm,s1q4yy,s1q5y,s1q5m,s1q6,s1q7,s1q8,s1q9,s1q10,s1q10o,s1q11,s1q12,s1q12_2,s1q13,s1q14,s1q15,s1q16,s1q16a,s1q16ao,s1q17,s1q17o,s1q18,s1q19,s1q20,s1q20a,s1q20ao,s1q21,s1q21o,s1q22,s1q23,s1q24,hh,motherTogether,fatherTogether,noReligion,female,age,married,spouseTogether,ageMarried
1050224,,PII,,Yes (if call went through and the potential respondent answered),Yes,Yes,,Eight +,Yes,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","No toilet facility (bush, beach), or other","Wood, crop residue, sawdust, animal waste, or other",Yes,"Video player, VCD /DVD /MP3 /MP4 player /iPod, or satellite dish (regardless of T.V.)",Three+,Only Bicycle,Thank you,PII,PII,PII,PII,17092020,828,105,83451,1,1050224,Akan,PII,PII,105,PII,102,Western,101,Urban,38,29,5,5,PII,1,1,1,102,.p,1,2,Western,101,Urban,Yes,Yes,,,,PII,,,.p,.p,.p,7,6,12,1,1,PII,Male,Head,28,May,1957,59,,Married,Yes,2,25,Pentecostal/Charismatic,,Central,Ghanaian by Birth,,Fante,"No, but deceased",,None,,,Agric/Anim Husbandry etc,,"No, but alive",,None,,,Agric/Anim Husbandry etc,,0,,Yes,02,0,0,0,0,59,1,1,25
1030144,,PII,,Yes (if call went through and the potential respondent answered),Yes,Yes,,Two,No,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","KVIP, or WC","Gas, or electricity",Yes,"Video player, VCD /DVD /MP3 /MP4 player /iPod, or satellite dish (regardless of T.V.)",Two,Only Bicycle,Thank you,PII,PII,PII,PII,16092020,1000,103,100303,1,1030144,Akan,PII,PII,103,PII,202,Western,101,Urban,80,0,1,1,PII,0,1,2,202,.p,2,2,Western,101,Urban,Yes,Yes,,,,PII,,,.p,.p,.p,3,3,15,1,1,PII,Male,Head,4,April,1975,41,,Consensual Union,Yes,2,29,Pentecostal/Charismatic,,Western,Ghanaian by Birth,,Nzema,"No, but deceased",,Middle,M4,,Agric/Anim Husbandry etc,,"No, but alive",,None,,,Agric/Anim Husbandry etc,,1,,Yes,02,0,0,0,0,41,0,1,29
1010017,,PII,,Yes (if call went through and the potential respondent answered),Yes,Yes,,Three,No one ages 5 to 17,No,"Mud bricks /earth, wood, bamboo, metal sheet /slate /asbestos, palm leaves /thatch (grass /raffia), or other","Public toilet (e.g., WC, KVIP, pit pan)","Charcoal, or kerosene",Yes,Only Television,Three+,No,Thank you,PII,PII,PII,PII,15092020,1703,101,170545,1,1010017,Akan,PII,PII,101,PII,406,Western,103,Urban,57,4.3000002,2,3,PII,1,1,2,406,.p,4,6,Western,103,Urban,Yes,Yes,,,,PII,,,.p,.p,,3,5,15,3,1,PII,Male,Head,DK,DK,1972,45,,Married,Yes,2,25,Islam,,Western,Ghanaian by Birth,,Nzema,"No, but deceased",,Middle,M4,,Administrative/Managerial,,"No, but deceased",,None,,,Agric/Anim Husbandry etc,,0,,Yes,06,0,0,0,0,45,1,1,25
1050228,,PII,,Yes (if call went through and the potential respondent answered),Yes,Yes,,Four,No,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","KVIP, or WC","Gas, or electricity",Yes,"Video player, VCD /DVD /MP3 /MP4 player /iPod, or satellite dish (regardless of T.V.)",one,No,Thank you,PII,PII,PII,PII,16092020,1432,105,143703,1,1050228,Akan,PII,PII,105,PII,411,Western,103,Urban,63,2.2,2,2,PII,1,1,1,411,.p,4,11,Western,103,Urban,Yes,Yes,,,,PII,,,.p,.p,,7,8,15,3,1,PII,Male,Head,27,November,1959,57,,Married,Yes,2,25,Protestant,,Central,Ghanaian by Birth,,Fante,"No, but alive",,None,,,Agric/Anim Husbandry etc,,"No, but deceased",,None,,,Agric/Anim Husbandry etc,,0,,Yes,11,0,0,0,0,57,1,1,25
1070374,,PII,PII,Yes (if call went through and the potential respondent answered),Yes,Yes,,Four,Yes,No,"Cement /concrete blocks, landcrete, stone, or burnt bricks","KVIP, or WC","Gas, or electricity",Yes,"Video player, VCD /DVD /MP3 /MP4 player /iPod, or satellite dish (regardless of T.V.)",Three+,Motor cycle or car (regardless of bicycle),Thank you,PII,PII,PII,PII,17092020,924,107,92748,1,1070374,Akan,PII,PII,107,PII,601,Western,105,Urban,74,.80000001,1,1,PII,0,1,2,601,.p,6,1,Western,105,Urban,Yes,Yes,,,,PII,,,.p,.p,,4,4,12,5,1,PII,Male,Head,20,August,1949,67,,Married,Yes,2,33,Catholic,,Western,Ghanaian by Birth,,Fante,"No, but deceased",,Don?t know,,,Production & related works,,"No, but alive",,None,,,Sales,,0,,Yes,01,0,0,0,0,67,1,1,33
1020079,,PII,PII,Yes (if call went through and the potential respondent answered),Yes,Yes,,Six,Yes,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","KVIP, or WC","Gas, or electricity",Yes,"Video player, VCD /DVD /MP3 /MP4 player /iPod, or satellite dish (regardless of T.V.)",Three+,Motor cycle or car (regardless of bicycle),Thank you,PII,PII,PII,PII,16092020,1030,102,103339,1,1020079,Akan,PII,PII,102,PII,814,Western,105,Urban,74,.80000001,1,1,PII,0,1,1,814,.p,8,14,Western,105,Urban,Yes,Yes,,,,PII,,,.p,.p,,5,5,14,7,1,PII,Male,Head,31,December,1973,43,,Married,Yes,2,35,Pentecostal/Charismatic,,Western,Ghanaian by Birth,,Fante,"No, but deceased",,Voc/Tech/Comm,Year four,,Administrative/Managerial,,"No, but alive",,Middle,M4,,Service,,0,,Yes,14,0,0,0,0,43,1,1,35
1030110,,PII,,Yes (if call went through and the potential respondent answered),Yes,Yes,,Seven,Yes,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","Public toilet (e.g., WC, KVIP, pit pan)","Charcoal, or kerosene",Yes,Only Television,Two,Only Bicycle,Thank you,PII,PII,PII,PII,15092020,757,103,75834,1,1030110,Akan,PII,PII,103,PII,903,Western,105,Urban,50,7.1999998,3,4,PII,1,1,0,903,.p,9,3,Western,105,Urban,Yes,Yes,,,,PII,,,.p,.p,,7,7,12,7,1,PII,Male,Head,28,May,1960,57,,Married,Yes,2,30,Other Christian,,Western,Ghanaian by Birth,,Fante,"No, but deceased",,None,,,Production & related works,,"No, but deceased",,None,,,Production & related works,,0,,Yes,03,0,0,0,0,57,1,1,30
1060317,,PII,PII,Yes (if call went through and the potential respondent answered),Yes,Yes,,Five,No,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","Public toilet (e.g., WC, KVIP, pit pan)","Gas, or electricity",Yes,"Video player, VCD /DVD /MP3 /MP4 player /iPod, or satellite dish (regardless of T.V.)",Three+,Motor cycle or car (regardless of bicycle),Thank you,PII,PII,PII,PII,16092020,30,106,3409,1,1060317,Akan,PII,PII,106,PII,1014,Western,105,Urban,74,.80000001,1,1,PII,0,1,1,1014,.p,10,14,Western,105,Urban,Yes,Yes,,,,PII,,,.p,.p,,4,4,15,10,1,PII,Male,Head,18,July,1961,56,,Married,Yes,2,30,Protestant,,Western,Ghanaian by Birth,,Fante,"No, but deceased",,Middle,M4,,Service,,"No, but deceased",,Middle,M4,,Sales,,0,,Yes,14,0,0,0,0,56,1,1,30
1010048,,PII,,Yes (if call went through and the potential respondent answered),Yes,Yes,,Five,Yes,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","KVIP, or WC","Gas, or electricity",Yes,Only Television,Two,No,Thank you,PII,PII,PII,PII,16092020,1604,101,160724,1,1010048,Akan,PII,PII,101,PII,1114,Western,105,Urban,67,1.1,1,1,PII,0,1,2,1114,.p,11,14,Western,105,Urban,Yes,Yes,,,,PII,,,.p,.p,.p,5,5,13,5,1,PII,Male,Head,22,May,1986,30,,Married,Yes,2,22,Pentecostal/Charismatic,,Central,Ghanaian by Birth,,Fante,"No, but alive",,None,,,Agric/Anim Husbandry etc,,"No, but alive",,None,,,Sales,,0,,Yes,14,0,0,0,0,30,1,1,22
1040135,,PII,,Yes (if call went through and the potential respondent answered),Yes,Yes,,Eight +,Yes,Yes,"Cement /concrete blocks, landcrete, stone, or burnt bricks","Public toilet (e.g., WC, KVIP, pit pan)","Charcoal, or kerosene",Yes,Only Television,Two,No,Thank you,PII,PII,PII,PII,15092020,836,104,83701,1,1040135,Ewe,PII,PII,104,PII,1206,Western,105,Urban,43,19.6,5,5,PII,1,1,1,1206,.p,12,6,Western,105,Urban,Yes,Yes,,,,PII,,,.p,.p,,3,3,13,7,1,PII,Female,Head,3,April,1970,47,,Consensual Union,No,,17,Pentecostal/Charismatic,,Western,Ghanaian by Birth,,Ahanta,"No, but deceased",,None,,,Service,,"No, but alive",,None,,,Sales,,0,,Yes,06,0,0,0,1,47,0,0,17
